servers,arrivals,served,rejected,rejection_rate,avg_wait_minutes,p90_wait_minutes,utilization,revenue_usd,cost_usd,net_margin_usd
2,203,76,127,0.625615763546798,97.98480104620553,158.05385053937835,0.9636674400922048,1368.0,276.0,1092.0
3,240,109,131,0.5458333333333333,67.9175989816236,100.44337504098888,0.9160491154707612,1962.0,414.0,1548.0
4,204,126,78,0.38235294117647056,55.053244791565305,97.55401633319049,0.9553591850701748,2268.0,552.0,1716.0
5,195,159,36,0.18461538461538463,32.186110445424454,51.3925222868448,0.9212087486911499,2862.0,690.0,2172.0
6,217,188,29,0.1336405529953917,28.698019827052814,47.52847101463202,0.9544031308300587,3384.0,828.0,2556.0
7,213,193,20,0.09389671361502347,16.024840093412376,37.68587168029905,0.7887524070946246,3474.0,966.0,2508.0
8,224,211,13,0.05803571428571429,11.503488703317412,29.09706901419213,0.8091996052814673,3798.0,1104.0,2694.0
9,227,225,2,0.00881057268722467,6.254073486769004,21.796168004859922,0.6681852099043659,4050.0,1242.0,2808.0
10,217,217,0,0.0,0.6952462468290724,2.7503860078798374,0.6392015640840226,3906.0,1380.0,2526.0
11,220,220,0,0.0,1.2242982608931,4.295789130679337,0.6522312053037846,3960.0,1518.0,2442.0
12,216,216,0,0.0,0.8386936173579747,2.701041855468308,0.5855880541705427,3888.0,1656.0,2232.0
